Title,Abstract,ArticleURL,Year,Cites,Authors,SELECTED
How do humans write code? large models do it the same way too,"… (3) We evaluate our work on eight mathematical reasoning datasets, and our experimental results demonstrate that our method achieves outstanding results. HTL shows significant …",https://arxiv.org/abs/2402.15729,2024,7,"L Li, X He, H Wang, L Wang, L He",
I learn better if you speak my language: Understanding the superior performance of fine-tuning large language models with LLM-generated responses,"… For example, the ground truth in GSM8K involves comprehensive mathematical reasoning, and the coding datasets’ ground truths consist of complete codes, which are logical se…",https://arxiv.org/abs/2402.11192,2024,10,"X Ren, B Wu, L Liu",
Cognitive LLMs: Towards integrating cognitive architectures and large language models for manufacturing decision-making,"… Large-capacity neural foundation models, such as Large Language Models (LLMs), have … , scene understanding, code generation, mathematical reasoning, etc. LLMs are trained on …",https://arxiv.org/abs/2408.09176,2024,7,"S Wu, A Oltramari, J Francis, CL Giles…",
Revealing the parallel multilingual learning within large language models,… We also evaluate the effectiveness of PMI on mathematical reasoning tasks and CoT scenarios. Table 6 suggests that PMI can further boost the superior reasoning performance of GPT …,https://arxiv.org/abs/2403.09073,2024,5,"Y Mu, P Feng, Z Cao, Y Wu, B Li, C Wang…",
Large multi-modal models (LMMs) as universal foundation models for AI-native wireless systems,… Large language models (LLMs) and foundation models have … The improved logical and mathematical reasoning … We demonstrate that logical and mathematical reasoning capabilities …,https://ieeexplore.ieee.org/abstract/document/10599304/?casa_token=lU0BIrBUNgkAAAAA:cw2lw4wlWh8PRmqku2Y-NlQtE49X80Gt7_qL6sEAVK5M2Pnpd2dfnVpKq5D_Yzvy2dX5_3kG,2024,46,"S Xu, CK Thomas, O Hashash, N Muralidhar…",
"Imperfectly perfect AI chatbots: limitations of generative AI, large language models and large multimodal models","… Human intellectual intelligence comprises several types of reasonings, such as logical reasoning, mathematical reasoning, and common sense reasoning. Generative AI and other AI …",https://link.springer.com/chapter/10.1007/978-3-031-74443-3_3,2024,11,"D Naik, I Naik, N Naik",
Automated synthesis of hardware designs using symbolic feedback and grammar-constrained decoding in large language models,… the synthesis of hardware designs using Large Language Models (LLMs) integrated with formal … LLMs that are adept at mathematical reasoning and mathematical proofs may be more …,https://ieeexplore.ieee.org/abstract/document/10670630/?casa_token=gxU2vbcjvfAAAAAA:ARWa4F2Vb_Vz0re_L6Kve8zgGLjsApSVr8AGjojKRSN1VC085J_t2OCF7BbHseItzLmFCBRg,2024,4,"SK Jha, S Jha, MRH Rashed, R Ewetz…",
Language models as continuous self-evolving data engineers,"… Large Language Models (LLMs) have demonstrated remarkable capabilities on various … (3) LANCE enhances mathematical reasoning, improving both elementary and advanced tasks …",https://arxiv.org/abs/2412.15151,2024,2,"P Wang, M Wang, Z Ma, X Yang, S Feng…",
Leveraging large language models (LLMs) for traffic management at urban intersections: the case of mixed traffic scenarios,"… One promising approach is the application of large language models (LLMs), such as GPT-… Think like a highly productive and intelligent engineer and apply mathematical reasoning to …",https://arxiv.org/abs/2408.00948,2024,16,"S Masri, HI Ashqar, M Elhenawy",
Robustness assessment of mathematical reasoning in the presence of missing and contradictory conditions,… Large language models (LLMs) have demonstrated impressive performance on reasoning … -off dilemma between the performance of mathematical reasoning for well-defined problems …,https://ui.adsabs.harvard.edu/abs/2024arXiv240605055T/abstract,2024,1,"SY Tian, Z Zhou, LH Jia, LZ Guo, YF Li",
Foundational autoraters: Taming large language models for better automatic evaluation,… Mathematical Reasoning: We construct datasets to help FLAMe differentiate between correct and incorrect solutions to mathematical problems. We leverage PRM800K (Lightman et al.…,https://arxiv.org/abs/2407.10817,2024,60,"T Vu, K Krishna, S Alzubi, C Tar, M Faruqui…",
Exploring the potential of large language models (llms) in learning on graphs,"… In contrast to mathematical reasoning, where a single answer is typically expected, multiple reasonable chains of thought can exist for node classification. An example is shown in Table …",https://dl.acm.org/doi/abs/10.1145/3655103.3655110?casa_token=XlR-GzncKzIAAAAA:o4_29UmUZQQBJNURn322JGgZ85ZLSfEzmOXfFP9yvpaHbxK4AV5B94Kh65pKICMRJg6_IswBefxN,2024,387,"Z Chen, H Mao, H Li, W Jin, H Wen, X Wei…",
On pre-training of multimodal language models customized for chart understanding,"… • We propose a novel data generation pipeline using text-only Large Language Models to … images, evaluating the raw data understanding and mathematical reasoning of an MLLM. …",https://arxiv.org/abs/2407.14506,2024,10,"WC Fan, YC Chen, M Liu, L Yuan, L Sigal",
Clongeval: A chinese benchmark for evaluating long-context large language models,"… Nonetheless, certain tasks, such as code completion and mathematical reasoning, which extend beyond the scope of the Chinese language, are not included. Given these tasks are …",https://arxiv.org/abs/2403.03514,2024,18,"Z Qiu, J Li, S Huang, X Jiao, W Zhong, I King",
Distilling LLMs' Decomposition Abilities into Compact Language Models,"… Large Language Models (LLMs) have demonstrated proficiency in their reasoning abilities, … feedback for the task of mathematical reasoning and distill the subquestion decomposition …",https://arxiv.org/abs/2402.01812,2024,4,"D Tarasov, K Shridhar",
Enhanced Problem Solving with Large Language Models: Integrating Trial-and-Error and Chain of Thought Methods,"… The datasets were sourced from established benchmarks in natural language processing and mathematical reasoning, ensuring the relevance and rigor of the evaluation. Additionally, …",https://www.techrxiv.org/doi/full/10.36227/techrxiv.172055569.99689115,2024,1,"O Farnsworth, G Attwell",
Is a picture worth a thousand words? delving into spatial reasoning for vision language models,"… was initially driven by large language models (LLMs), which … ), especially multimodal large language models (MLLMs), … such as mathematical reasoning [44], image-text retrieval [47…",https://proceedings.neurips.cc/paper_files/paper/2024/hash/89cc5e613d34f90de90c21e996e60b30-Abstract-Conference.html,2024,84,"J Wang, Y Ming, Z Shi, V Vineet…",
Lora-flow: Dynamic lora fusion for large language models in generative tasks,"… Surprisingly, these three segments mainly contain numbers, which are closely related to mathematical reasoning ability. We also offer English translations of the input and output …",https://arxiv.org/abs/2402.11455,2024,25,"H Wang, B Ping, S Wang, X Han, Y Chen, Z Liu…",
Ltlbench: Towards benchmarks for evaluating temporal logic reasoning in large language models,"… Recently, Large Language Models (LLMs) have demonstrated and shown promise and emergence of various reasoning abilities, including but not limited to mathematical reasoning [9, …",https://arxiv.org/abs/2407.05434,2024,3,"W Tang, V Belle",
Accessing GPT-4 level Mathematical Olympiad Solutions via Monte Carlo Tree Self-refine with LLaMa-3 8B: A Technical Report,… notable strides in enhancing mathematical reasoning in large language models (LLMs). Du … in LLM mathematical reasoning. Recent advancements in large language models (LLMs) …,https://blog.biocomm.ai/wp-content/uploads/2024/06/Accessing-GPT-4-level-Mathematical-Olympiad-Solutions-via-Monte-Carlo-Tree-Self-refine-with-LLaMa-3-8B.pdf,2024,0,"D Zhang, X Huang, D Zhou, Y Li…",
Cogvlm: Visual expert for pretrained language models,"… achieved a score of 41.1 on the MMMU dataset, and also scored 87.9 on the hallucination assessment dataset POPE, along with 35.2 on the multimodal mathematical reasoning …",https://proceedings.neurips.cc/paper_files/paper/2024/hash/dc06d4d2792265fb5454a6092bfd5c6a-Abstract-Conference.html,2024,927,"W Wang, Q Lv, W Yu, W Hong, J Qi…",
Towards faithful chain-of-thought: Large language models are bridging reasoners,"… Experimental Setup We collect 100 questions from 6 datasets, covering three main types of reasoning tasks: mathematical reasoning (AQuA (AQA.) [12], GSM8K (GSM.) [5]), …",https://www.researchgate.net/profile/Pengfei-Cao-12/publication/380974035_Towards_Faithful_Chain-of-Thought_Large_Language_Models_are_Bridging_Reasoners/links/6708086bffe5b728124167cf/Towards-Faithful-Chain-of-Thought-Large-Language-Models-are-Bridging-Reasoners.pdf,2024,9,"J Li, P Cao, Y Chen, K Liu, J Zhao",
Improving Few-Shot Code Generation with Prompt Selection and Augmentation Techniques in Large Language Models,… have enhanced the capabilities of Large Language Models (LLMs) in tackling complex … augmentation algorithm aimed at improving mathematical reasoning and robot arm operations. …,https://ieeexplore.ieee.org/abstract/document/10963264/,2024,0,"OT Wu, FKS Chan, YN Law",
Think Thrice Before You Act: Progressive Thought Refinement in Large Language Models,"… The left plots show accuracy improvements in mathematical reasoning (GSM8K and MATH), reasoning tasks (ARC, GPQA, Winogrande, CommonsenseQA), comprehension tasks (…",https://arxiv.org/abs/2410.13413,2024,4,"C Du, J Han, Y Ying, A Chen, Q He, H Zhao…",
Are language models puzzle prodigies? algorithmic puzzles unveil serious challenges in multimodal reasoning,… They demand proficiency in algorithmic and mathematical reasoning by applying logic adeptly in novel contexts without necessitating specialized domain knowledge. • Our dataset is …,https://arxiv.org/abs/2403.03864,2024,11,"D Ghosal, VTY Han, CY Ken, S Poria",
Cyberseceval 2: A wide-ranging cybersecurity evaluation suite for large language models,"… complement one another; LLMs are relatively weak at symbolic and mathematical reasoning, but can dynamically author code that can solve these problems and thus address this gap. …",https://arxiv.org/abs/2404.13161,2024,68,"M Bhatt, S Chennabasappa, Y Li, C Nikolaidis…",
Rocoft: Efficient finetuning of large language models with row-column updates,"… finetuning method for large language models based on … RoBERTa and DeBERTa, and large language models (LLMs) liken … of commonsense and mathematical reasoning performance …",https://arxiv.org/abs/2410.10075,2024,4,"M Kowsher, T Esmaeilbeig, CN Yu, C Chen…",
Large Language Models on Solving Integral Calculus Problems,"This article evaluates the ability of language mo-dels (LLMs), such as GPT-4 and GPT-3.5 Turbo, to support learning, especially in solving mathematical problems. A com-parative …",https://ieeexplore.ieee.org/abstract/document/10727088/?casa_token=rbGoe7syhugAAAAA:oQGV1PAUf9dZHZ9iit3dmbMEYsQ_0VAdkfbkvuzg4sX_2ZqrwJyBtf-xsEPKkSXYncGh-n84,2024,0,"JA Silva, TH Medeiros, F Góes",
A survey on symbolic knowledge distillation of large language models,"… The paper[156] introduces a novel dataset to evaluate the mathematical reasoning capabilities of neural networks, focusing on problems across arithmetic, algebra, probability, and …",https://ieeexplore.ieee.org/abstract/document/10597596/?casa_token=5-c9zXlVLc8AAAAA:vL--vYQsLCf-DYAKyHgYR42ur6zHsY_D0qbnizQJ6BEQe09VgpUozGd1GMiU5Z71NTtprK_y,2024,23,"K Acharya, A Velasquez…",
Mixture-of-instructions: Aligning large language models via mixture prompting,"… This case illustrates that our model not only possesses commendable mathematical reasoning, code writing, and tool utilisation capacities but can also synergise these abilities to …",https://arxiv.org/abs/2404.18410,2024,1,"B Xu, S Wu, K Liu, L Hu",
Researchagent: Iterative research idea generation over scientific literature with large language models,"… generating ideas in certain domains, such as theoretical sciences, where mathematical reasoning and proof generation play a central role. However, its flexibility allows for …",https://arxiv.org/abs/2404.07738,2024,146,"J Baek, SK Jauhar, S Cucerzan, SJ Hwang",
Yoda: Teacher-student progressive learning for language models,"… Although large language models (LLMs) have demonstrated adeptness in a range of tasks, … problems and 5K for testing, and demands more advanced mathematical reasoning skills. …",https://arxiv.org/abs/2401.15670,2024,11,"J Lu, W Zhong, Y Wang, Z Guo, Q Zhu…",
CAFA: Coding as Auto-Formulation Can Boost Large Language Models in Solving Linear Programming Problem,… Large language models (LLMs) open new doors for Operations Research (OR). While initial … This study aims to shed light on better unleashing LLMs’ mathematical reasoning capability …,https://openreview.net/forum?id=xC2xtBLmri,,1,"H Deng, B Zheng, Y Jiang, TH Tran",
Visual sketchpad: Sketching as a visual chain of thought for multimodal language models,… brings consistent improvement to math tasks and boosts mathematical reasoning. … Chain-of-thought prompting elicits reasoning in large language models. Advances in neural …,https://proceedings.neurips.cc/paper_files/paper/2024/hash/fb82011040977c7712409fbdb5456647-Abstract-Conference.html,2024,97,"Y Hu, W Shi, X Fu, D Roth…",
"Large Language Models (LLMs) on Tabular Data: Prediction, Generation, and Understanding--A Survey","… The final and most recent stage of LM is the Large Language Models (LLMs), and will be the … QA A niche QA task involves answering questions that require mathematical reasoning. An …",https://arxiv.org/abs/2402.17944,2024,118,"X Fang, W Xu, FA Tan, J Zhang, Z Hu, Y Qi…",
Port: Preference optimization on reasoning traces,"… to improve not only the alignment of large language models (LLMs) with human values, but … on the GSM8K and AQuARAT mathematical reasoning benchmarks for Falcon2-11B and …",https://arxiv.org/abs/2406.16061,2024,4,"S Lahlou, A Abubaker, H Hacid",
Geocoder: Solving geometry problems by generating modular code through vision-language models,… challenges in modelling mathematical reasoning that requires … enhance their multimodal mathematical reasoning capabilities by using … While recent LLMs (large language models) have …,https://arxiv.org/abs/2410.13510,2024,3,"A Sharma, A Dalmia, M Kazemi, A Zouaq…",
Learning to reason via self-iterative process feedback for small language models,"… efficient, cost-effective, and customizable than large language models (LLMs), though they often … We evaluate the model’s accuracy for mathematical reasoning tasks, while for code …",https://arxiv.org/abs/2412.08393,2024,2,"K Chen, J Wang, X Zhang",
A Benchmarking Survey: Evaluating the Accuracy and Effectiveness of Benchmark Models in Measuring the Performance of Large Language Models,"… GSM8K - A dataset consisting of highquality grade school math word problems, used to test logic and mathematical reasoning capabilities in LLMs [38]. HellaSwag - A challenge …",https://ieeexplore.ieee.org/abstract/document/10957638/?casa_token=-9Mv2bVennkAAAAA:TXZa3GAGyMmmrw33qtwbObMldU_PHeKiPdMe5341MMlbf6yqNMPRMbJMPqb59JPu9RRvEgwr,2024,0,"RA Salim, D Delvin, J Harefa…",
"Large Language Models for Optical Communications: Techniques, Opportunities, and Challenges","… In addition, confabulations and hallucinations, insufficient mathematical reasoning ability, and timely model resource updating will also limit the application of LLMs in optical …",https://ieeexplore.ieee.org/abstract/document/10799848/?casa_token=HuMqKPKgw6gAAAAA:2VpIEZoovqpt_HQNAnuFnMU8A-VXYoqyWtzSgtWyMhHmJOConzMaiLJVjxgtngWQZ9pmoHUK,2024,0,"X Jiang, M Zhang, Y Pang, Y Liu…",
Mm-llms: Recent advances in multimodal large language models,"… models, with a special emphasis on powerful Large Language Models (LLMs) (OpenAI… 2024) evaluates the mathematical reasoning ability of MM-LLMs within visual contexts, …",https://arxiv.org/abs/2401.13601,2024,431,"D Zhang, Y Yu, J Dong, C Li, D Su, C Chu…",
VGV: Verilog generation using visual capabilities of multi-modal large language models,"… the use of multimodal large language models (MMLLMs) for … Gao, “Mathvista: Evaluating mathematical reasoning of … Ren, “VerilogEval: evaluating large language models for verilog …",https://ieeexplore.ieee.org/abstract/document/10691753/?casa_token=ise6EF-7-Y0AAAAA:PSXgbP2XvAI1BcmZdDlJcJDszClCtiq5gffAhBPaM37s2NPnqsR4CVlhuvq9cqMfbXSWwXBO,2024,11,"SZ Wong, GW Wan, D Liu…",
An empirical analysis of compute-optimal inference for problem-solving with language models,… The optimal training configurations of large language models (LLMs) with respect 1 to model sizes … Mathematical Reasoning with LLMs. Large language models have made significant …,https://openreview.net/forum?id=vYmvgxpgwH,2024,55,"Y Wu, Z Sun, S Li, S Welleck, Y Yang",
Navigating the safety landscape: Measuring risks in finetuning large language models,"… exhibited emergent capabilities that can be broadly applied in a task-agnostic manner, such as in-context learning [5], chain-of-thought reasoning [46], and mathematical reasoning [25]. …",https://proceedings.neurips.cc/paper_files/paper/2024/hash/ada93fa6643735f294be51dc31eebbd4-Abstract-Conference.html,2024,44,"SY Peng, PY Chen, M Hull…",
Exploring safety-utility trade-offs in personalized language models,"… demographic user identities in tasks involving mathematical reasoning, general knowledge, and … the results showcasing how personalizing large language models (LLMs) affects their …",https://arxiv.org/abs/2406.11107,2024,12,"AR Vijjini, SBR Chowdhury, S Chaturvedi",
Metaheuristics and large language models join forces: Towards an integrated optimization approach,… is using LLMs for tasks necessitating mathematical reasoning. Given LLMs’ inher- … This paper showcased the potential of leveraging Large Language Models (LLMs) as pattern search …,https://ieeexplore.ieee.org/abstract/document/10818476/,2024,9,"CC Sartori, C Blum, F Bistaffa, GR Corominas",
Contextual pathway reconfiguration for efficient multimodal understanding in transformer-based large language models,"… Thompson, “From computation to adjudication: Evaluating large language model judges on mathematical reasoning and precision calculation,” 2024. [9] N. Velezhancev, D. …",https://www.techrxiv.org/doi/full/10.36227/techrxiv.173337226.68077827,2024,13,"M Kobrun, J Fitzwilliam, I Montmorency, A Krajewski…",
Large Language Models integration in Digital Humanities.,… The capability of Large Language Models to enhance their own performance through self… tasks such as code generation [2] or mathematical reasoning [3] were based on human-labeled …,https://sebd2024.unica.it/papers/paper66.pdf,2024,1,G Sullutrone,
Unifying kv cache compression for large language models with leankv,"… We select MATH as the calibration dataset as it is comprised of complex mathematical reasoning tasks with high text information density, where even the removal of a single symbol can …",https://arxiv.org/abs/2412.03131,2024,6,"Y Zhang, Y Hu, R Zhao, J Lui, H Chen",
Expediting and elevating large language model reasoning via hidden chain-of-thought decoding,"… Large language models (LLMs) have demonstrated remarkable capabilities in tasks … Extensive experiments across three challenging domains - mathematical reasoning, agent …",https://arxiv.org/abs/2409.08561,2024,10,"T Liu, Z Chen, Z Liu, M Tian, W Luo",
Diffusion of thought: Chain-of-thought reasoning in diffusion language models,"… Large language models (LLMs) have had a profound impact on the entire field of artificial … problems require both language understanding and mathematical reasoning, so we adopt the …",https://proceedings.neurips.cc/paper_files/paper/2024/hash/be30024e7fa2c29cac7a6dafcbb8571f-Abstract-Conference.html,2024,24,"J Ye, S Gong, L Chen, L Zheng, J Gao…",
Teaching small language models reasoning through counterfactual distillation,"… With the rise of large language models (LLMs), many studies are interested in transferring … SVAMP is a mathematical reasoning dataset, while bAbI is a reading comprehension dataset …",https://aclanthology.org/2024.emnlp-main.333/,2024,10,"T Feng, Y Li, L Chenglin, H Chen, F Yu…",
Automated Atomic Force Microscopy Using Large Language Models,"… These include single-step, multi-step, and mathematical reasoning-based tasks that critically analyze the ability of AILA to perform AFM experiments. Finally, we present two automated …",https://openreview.net/forum?id=d05Ds7X0oI,,1,"I Mandal, J Soni, M Zaki, MM Smedskjaer…",
"Mastering text, code and math simultaneously via fusing highly specialized language models","… generation and mathematical reasoning capabilities into a … of open-source large language models, providing a potential … benefit future applications of large language models. How to …",https://arxiv.org/abs/2403.08281,2024,6,"N Ding, Y Chen, G Cui, X Lv, W Zhao, R Xie…",
The discovery and solution of the pseudo-reasoning issue for constructing cost-effective multi-agent frameworks in large language models,"… According to the findings in [4], simply asking the model to “think step-bystep” allows it to perform complex tasks more effectively, especially in mathematical reasoning where …",https://ieeexplore.ieee.org/abstract/document/10730162/?casa_token=bBBRppkHJqgAAAAA:B815cIFJ6w1jfINEct_j5fLs1pdF8GNTeB4wBbotnkEp88FrP0CMi-BxBIUpXPUovyn3X6co,2024,1,"JY Ng, SY Liew, CH Chng, TW Teo…",
Ubench: Benchmarking uncertainty in large language models with multiple choice questions,"… Overall, UBENCH includes 4 categories, including tasks such as reading comprehension, QA, mathematical reasoning, and more. We provide detailed information on categories, data …",https://arxiv.org/abs/2406.12784,2024,3,"X Wang, Z Zhang, G Chen, Q Li, B Luo, Z Han…",
Step-dpo: Step-wise preference optimization for long-chain reasoning of llms,… Mathematical reasoning is recognized as a critical long-chain reasoning ability in Large Language Models (LLMs). This task is particularly challenging due to the often extensive chain …,https://arxiv.org/abs/2406.18629,2024,133,"X Lai, Z Tian, Y Chen, S Yang, X Peng, J Jia",
Large language models empowered autonomous edge AI for connected intelligence,"… Thanks to the extensive training data in language, mathematical reasoning, and programming code, GPT demonstrates an impressive ability to handle complex tasks in fields such as …",https://ieeexplore.ieee.org/abstract/document/10384606/?casa_token=HORomLZzDoYAAAAA:r9Y6oFtCHxCgG-KhI1EK4tYp6cnCVTdxD6O5YuyAeqFJKhlHkY4DRIsOXMlyyEMN9wsv_9NC,2024,140,"Y Shen, J Shao, X Zhang, Z Lin, H Pan…",
Diversity of thought elicits stronger reasoning capabilities in multi-agent debate frameworks,"… Large language models (LLMs) excel in natural language … , especially in tasks like mathematical reasoning. Chain-of-… , performance on mathematical reasoning tasks benefits most …",https://arxiv.org/abs/2410.12853,2024,5,M Hegazy,
The impact of input order bias on large language models for software fault localization,"… Although there are related studies in mathematical reasoning tasks, whether such sensitivities extend to software engineering scenarios like FL is unclear. Since FL involves analyzing …",https://arxiv.org/abs/2412.18750,2024,1,"MN Rafi, DJ Kim, TH Chen, S Wang",
Figuring Figures: An assessment of large language models on different modalities of math word problems,"… In this paper, we present a novel benchmark to evaluate the performance of LMMs on mathematical reasoning in visual contexts, focusing on geometric figures. We generated a set of …",https://dl.acm.org/doi/abs/10.1145/3674029.3674041,2024,0,"Y Weng, J Lynch, E Krueger",
Knowledge fusion of large language models,… While training large language models (LLMs) from scratch can generate models with … abilities of large language models. In The 3rd Workshop on Mathematical Reasoning and AI …,https://arxiv.org/abs/2401.10491,2024,160,"F Wan, X Huang, D Cai, X Quan, W Bi, S Shi",
Commonit: Commonality-aware instruction tuning for large language models via data partitions,"… • GSM The mathematical reasoning capabilities are enhanced through the use of the GSM8K dataset, which consists of 8.5K highquality arithmetic word problems designed for the …",https://arxiv.org/abs/2410.03077,2024,9,"J Rao, X Liu, L Lian, S Cheng, Y Liao…",
How to leverage demonstration data in alignment for large language model? a self-imitation learning perspective,"… and efficiently aligns large language models with offline … and efficient fine-tuning for large language models. In addition, … , especially in mathematical reasoning and coding tasks where …",https://arxiv.org/abs/2410.10093,2024,10,"T Xiao, M Li, Y Yuan, H Zhu, C Cui…",
Compcap: Improving multimodal large language models with composite captions,"… This is likely due to the significant presence of CIs in mathematical tasks, where accurate CI understanding is crucial for mathematical reasoning. Additionally, we report comparison with …",https://arxiv.org/abs/2412.05243,2024,4,"X Chen, SN Shukla, M Azab, A Singh, Q Wang…",
Overview of the Comprehensive Evaluation of Large Language Models,"… process some complex tasks, it is difficult to evaluate the output results through the aforementioned automated methods, such as multistep mathematical reasoning tasks and language …",https://ieeexplore.ieee.org/abstract/document/10925029/?casa_token=3dpSkEeH5Y0AAAAA:yywqs-nmFlKLn8O4O80FW3a2c7Nn2WIKsNOJTTubE7w-dBN1Fmadthwp_GHPr8ECGXwYoJtk,2024,0,"L Lin, D Zhu, J Shang",
Agentic large language models for generating large-scale urban daily activity patterns,… generation and reasoning capabilities of LLMs (Large Language Models) have sparked a surge of … This approach is particularly useful for tasks requiring mathematical reasoning or …,https://ieeexplore.ieee.org/abstract/document/10825138/?casa_token=PIXF-JAxX80AAAAA:DQsLpTgIISo5XtZBikitevic6-YtwGVbONYPdJFwYvhfcS4EYlRuMfbHU3E6QZITNODhoqMc,2024,3,"Y Zhang, K Zhang, Y Pang…",
Enhance Large Language Models for Scientific Paper Question Answering,"… -6B[3], already demonstrates exceptional performance on GSM8K[36], and the table question-answering dataset contains numerous samples that emphasize mathematical reasoning. …",https://ieeexplore.ieee.org/abstract/document/10779743/?casa_token=sjyfiepXb28AAAAA:4WFv_f51N3ftxaoLmIsemBjH0_CfU8UXRTxFag9nuJAG-_wBRWK2uHanjCCMXqnisEI42hfv,2024,2,"Z Chen, Y Jiang, Y Yang, X Jiang…",
H2ovl-mississippi vision language models technical report,"… H2OVL-Mississippi-2B and Qwen2-VL may not yet reach state-of-the-art performance, they are highly effective for specific use cases such as text extraction and mathematical reasoning …",https://arxiv.org/abs/2410.13611,2024,7,"S Galib, S Wang, G Xu, P Pfeiffer, R Chesler…",
Advancing multimodal large language models in chart question answering with visualization-referenced instruction tuning,"… For unified models, Matcha [44] integrates mathematical reasoning and chart data extraction tasks into a pre-trained generic VL model, Pix2Struct [35], thus excelling at CQA and chart …",https://ieeexplore.ieee.org/abstract/document/10670526/?casa_token=XmnW98BLtCAAAAAA:7x6T93Ncca4RrOiQVWmsYdYlCtXoAjyoGQMhxNp1fvPTTTMrEv3H4kJTgQFf_Ph9HxGEaHYN,2024,33,"X Zeng, H Lin, Y Ye, W Zeng",
Dynamic context-aware representation for semantic alignment in large language models,"… model judges on mathematical reasoning and precision calculation,” … ing explainability in large language models through belief … with large language models,” 2024. [9] T. Volkova, E. …",https://files.osf.io/v1/resources/svcn3_v1/providers/osfstorage/671b1788a5aac483a8114727?action=download&direct&version=1,2024,30,"J Baronova, C Stevens, L Tennant, A MacPhee",
Chain of Function for Large Language Models,… (CoT) improve the performance 3 of Large Language Models (LLMs) by 4 decomposing … Three types of reasoning tasks were tested in this 408 research: (1) mathematical reasoning…,https://www.researchsquare.com/article/rs-5568799/latest,2024,0,"V Chen, G Brady",
Stochastic gradient modification: A novel technique to enhance open source large language models,"… model judges on mathematical reasoning and precision … feedbackradicalizing large language models via semantic … Zhang, “Improved value alignment in large language models using …",http://www.techrxiv.org/doi/full/10.36227/techrxiv.172954139.94328409/v1,2024,40,"M Lasalle, Q Stanhope, I Moretti, D Whitmore…",
BloomWise: Enhancing Problem-Solving capabilities of Large Language Models using Bloom's-Taxonomy-Inspired Prompts,"… To demonstrate the effectiveness of our approach, we conduct extensive experiments on four popular mathematical reasoning datasets and achieve consistent improvements. …",https://arxiv.org/abs/2410.04094,2024,2,"ME Zoumpoulidi, G Paraskevopoulos…",
Confidence matters: Revisiting intrinsic self-correction capabilities of large language models,"… Across different tasks, we found that IoE-based Prompt works better on mathematical reasoning and LLC tasks. Besides, we observed a trend showing that the magnitude of …",https://arxiv.org/abs/2402.12563,2024,42,"L Li, Z Chen, G Chen, Y Zhang, Y Su, E Xing…",
Prospect of large language models and natural language processing for lung cancer diagnosis: A systematic review,"… The math parameter assesses the model's mathematical reasoning abilities. It evaluates how well the model can solve mathematical problems, understand mathematical concepts, and …",https://onlinelibrary.wiley.com/doi/abs/10.1111/exsy.13697?casa_token=_e7Q3pmlIYcAAAAA:5fIA9DYDJFyhL93wVAkC1AYyG_wNfnU-FnBMARmnqbunjRnpSat4wXohtlrKswdwj_RlM1bN3dLp6Ho,2024,4,"A Garg, S Gupta, S Vats, P Handa, N Goel",
Evolve cost-aware acquisition functions using large language models,"… In the past three years, large language models (LLMs) have been widely used in code generation [11, 18, 22], mathematical reasoning [29] and automatic algorithm design [19, 20]. …",https://link.springer.com/chapter/10.1007/978-3-031-70068-2_23,2024,23,"Y Yao, F Liu, J Cheng, Q Zhang",
“I Want It That Way”: Enabling Interactive Decision Support Using Large Language Models and Constraint Programming,"… component of our approach is an underlying CP optimization model to generate new time suggestions (detailed in Section 4.3), which performs the complex mathematical reasoning …",https://dl.acm.org/doi/abs/10.1145/3685053?casa_token=krB2urKhJ1cAAAAA:YTKXaW7rl8xAHHC16imasojc45PnlgBvgRHgTaG4bvwpWcbpXHJN02r0-HTzbn6C6iN-6jtYNLEg,2024,26,"C Lawless, J Schoeffer, L Le, K Rowan, S Sen…",
Leveraging nlp in finance: A synergistic approach using large language models and chain-of-thought reasoning,"… To address this challenge, we propose leveraging the power of large language models (LLMs) … diverse tasks and domains, including mathematical reasoning and problem-solving. …",https://dl.acm.org/doi/abs/10.1145/3716895.3716983?casa_token=50CcMTGwsMQAAAAA:0bRZsyYjloncAyS2nFeMP5Du6WUyKLbioZXEeduopBHju2vhVC3-vefx_NkWZgSfKVjqHlAH0TAS,2024,1,"Y Deng, X Zhang, D Zhou, D Zhang…",
: Internalizing Symbolic Knowledge for Distilling Better CoT Capabilities into Small Language Models,"… Specifically, their performance is 10% lower on the mathematical reasoning dataset GSM8K … Large Language Models Regarding the experiments, given our limited computing and …",https://arxiv.org/abs/2409.13183,2024,12,"H Liao, S He, Y Hao, X Li, Y Zhang, J Zhao…",
Solution generation for university math problems using large language models,… assesses the capabilities of cutting-edge Large Language Models (LLMs) including GPT-… explanation generation to aid in mathematical reasoning education. Through rigorous …,https://dr.ntu.edu.sg/handle/10356/175331,2024,0,L Wirja,
"Chain-of-Thought in Large Language Models: Decoding, Projection, and Activation",… results that contribute to a deeper understanding of CoT mechanisms in large language models. … These challenging benchmarks are widely used in mathematical reasoning research. …,https://arxiv.org/abs/2412.03944,2024,2,"H Yang, Q Zhao, L Li",
Detecting Memorization in Large Language Models,"… be effectively applied to other mechanisms within large language models (LLMs). While we have … , thereby encouraging the model to rely more on its mathematical reasoning processes. …",https://arxiv.org/abs/2412.01014,2024,1,E Slonski,
